entry_time,exit_time,direction,entry_price,exit_price,size,pnl,pnl_percent,exit_reason,commission
2024-01-01 08:15:00,2024-01-01 09:20:00,long,42514.21,42647.04,0.02352154726619641,1.1212427562455414,0.011212427562455413,take_profit,2.0031243671233687
2024-01-01 09:25:00,2024-01-01 10:40:00,long,42588.01,42712.0,0.023483419964342653,0.9085732835861697,0.009084714218860653,take_profit,2.0031359577926278
2024-01-01 10:45:00,2024-01-01 11:30:00,long,42723.79,42640.56,0.023410914190992494,-3.9469478609362305,-0.03946146865715874,stop_loss,1.99845747281985
2024-01-01 11:55:00,2024-01-01 15:00:00,long,42690.2,42596.85,0.02342008907941143,-4.1836956238832395,-0.041844978472810754,stop_loss,1.9974303083202165
2024-01-01 15:10:00,2024-01-01 15:40:00,long,42649.99,42845.96,0.023432359943238005,2.5886677039873,0.02590247969577512,take_profit,2.0033718740890794
2024-01-01 15:45:00,2024-01-01 18:00:00,long,42766.01,42950.24,0.02337484333997724,2.302743473083587,0.023035525175249198,take_profit,2.0036039154403245
2024-01-01 18:05:00,2024-01-01 19:20:00,long,43009.94,43209.02,0.02324762737109627,2.6237514026342623,0.026240687617791254,take_profit,2.004386254403455
2024-01-01 19:25:00,2024-01-01 19:50:00,long,43262.01,43527.84,0.023118237768274562,4.139092757767415,0.04138507434120478,take_profit,2.006428388172884
2024-01-01 19:55:00,2024-01-01 20:40:00,long,43517.99,43800.0,0.02299176370023635,4.476312688244099,0.044738281800239865,take_profit,2.0075945928596006
2024-01-01 20:45:00,2024-01-01 21:35:00,long,43762.0,43536.03,0.022873794023538067,-7.1656283923795705,-0.07158448654083478,stop_loss,1.996837156880647
2024-01-01 22:55:00,2024-01-01 23:20:00,long,43529.93,43821.1,0.022979279112528665,4.683613000058067,0.04682271944843428,take_profit,2.007263699136865
2024-01-01 23:25:00,2024-01-02 00:05:00,long,43989.99,44398.44,0.022749602182652023,7.281273391455132,0.07275781831275806,take_profit,2.0108016200491856
2024-01-02 00:10:00,2024-01-02 01:00:00,long,44630.09,45127.99,0.022439634333204034,9.158555440851847,0.0914499433005852,take_profit,2.0141384936504743
2024-01-02 01:05:00,2024-01-02 01:35:00,long,45189.4,44819.99,0.02218216562738322,-10.190917001411442,-0.10166529982695133,stop_loss,1.9966031969997307
2024-01-02 02:00:00,2024-01-02 02:55:00,long,44948.04,45378.96,0.022278605779071346,7.587937178111209,0.07577482800139856,take_profit,2.0123596242061774
2024-01-02 03:00:00,2024-01-02 07:15:00,long,45140.0,45355.01,0.022200674732382398,2.764316792295892,0.027584180327869304,take_profit,2.0090502819136926
2024-01-02 07:20:00,2024-01-02 09:00:00,long,45474.96,45835.64,0.022043227505839938,5.937770967311607,0.05923466452746749,take_profit,2.012780329494748
2024-01-02 09:05:00,2024-01-02 10:45:00,long,45732.36,45501.99,0.021932143151932287,-7.053472642484192,-0.07032314754803877,stop_loss,2.0009648245734937
2024-01-02 11:00:00,2024-01-02 11:30:00,long,45642.27,45441.99,0.021959979618267313,-6.3983532110915124,-0.06383649630046859,stop_loss,2.0002084931449606
2024-01-02 12:25:00,2024-01-02 14:10:00,long,45450.0,45768.77,0.022038800519479526,5.0149561659321344,0.05006627722772207,take_profit,2.0103522756622834
2024-01-02 14:15:00,2024-01-02 14:35:00,long,45661.06,45360.36,0.02194791315021898,-8.597467705240387,-0.08578894576691762,stop_loss,1.9977302209696048
2024-01-02 15:30:00,2024-01-02 21:05:00,short,45091.9,44682.95,0.02220587805030202,7.087564457586952,0.07078325597280319,take_profit,1.9935293710841564
2024-01-02 21:10:00,2024-01-02 21:55:00,short,44843.99,45119.74,0.02234444323313274,-8.171669679562234,-0.08155245106423402,stop_loss,2.010189458025881
2024-01-02 22:30:00,2024-01-03 00:45:00,short,44976.1,45186.24,0.02226064113905421,-6.684922623958232,-0.06676931525854832,stop_loss,2.007071494997393
2024-01-03 01:30:00,2024-01-03 06:50:00,long,45157.27,45294.93,0.022156528277104005,1.0459609555999476,0.01045408635198795,take_profit,2.004106727026267
2024-01-03 06:55:00,2024-01-03 07:40:00,long,45326.93,45150.27,0.022075903348569608,-5.897295008007586,-0.05893564818971934,stop_loss,1.9973659224492022
2024-01-03 08:25:00,2024-01-03 08:40:00,long,45164.67,45051.1,0.02214215660751157,-4.512256433722326,-0.04512061529509675,signal_reversal,1.9975717078072437
2024-01-03 08:45:00,2024-01-03 09:00:00,short,45090.0,45243.96,0.022168817268201538,-5.415708158965316,-0.0541791882900863,stop_loss,2.002597052353027
2024-01-03 09:05:00,2024-01-03 09:35:00,long,45259.31,45492.01,0.022073920256568447,3.1333638428452493,0.03136342113920968,take_profit,2.003237400858325
2024-01-03 09:40:00,2024-01-03 10:20:00,long,45414.99,45261.41,0.02200515151917011,-5.374899091526901,-0.05378321122607194,stop_loss,1.9953479212128766
2024-01-03 11:00:00,2024-01-03 11:10:00,short,45088.07,44736.81,0.0221527833478444,5.791515572877747,0.05798321374146243,take_profit,1.9898711058861216
